customer_number,first_name,last_name,email,gender,phone,city,state,country,item,Age,Net Purchase
43304239,Agatha,Jozsika,ajozsika0@bravesites.com,Female,701-422-4258,Guanting,,China,Toys,44,1500
226070717,Cullin,Vitte,cvitte1@wikispaces.com,Male,202-535-6898,Qili,,China,Outdoor,48,1502
62104397,Claudine,Myford,cmyford2@blogger.com,Female,457-738-2168,Lupane,,Zimbabwe,Outdoor,35,1508
53202208,Base,Bullent,bbullent3@timesonline.co.uk,Male,315-954-4839,Longhu,,China,Pets,57,1509
271992468,Cathrin,Shea,cshea4@mac.com,Female,655-851-5275,Palana,,Russia,Food - Baking,56,1509
103102216,Lexie,Seres,lseres5@furl.net,Female,709-188-5253,Toyonaka,,Japan,Clothing - Tops,69,1509
63114425,Lenna,Candelin,lcandelin6@wikispaces.com,Female,566-197-9235,Svetlyy,,Russia,Food - Dried Fruits,59,1516
226070270,Shoshanna,Korejs,skorejs7@timesonline.co.uk,Female,607-195-3659,Tadou,,China,Food - Condiments,41,1516
11302920,Xever,Sauter,xsauter8@amazon.co.uk,Male,848-832-2297,Otavi,,Namibia,Food - Condiments,60,1517
125100076,Talia,Verheyden,tverheyden9@ftc.gov,Female,705-223-8729,Qiling,,China,Food - Meat,74,1517
53111836,Horatia,Farnell,hfarnella@diigo.com,Female,871-313-6296,Sīrīs,,Palestinian Territory,Toys,22,1518
53112806,Margareta,Drinkale,mdrinkaleb@liveinternet.ru,Female,515-401-4150,Davydovo,,Russia,Food - Snacks,67,1519
221571473,Melony,Barzen,mbarzenc@marriott.com,Female,863-979-0423,Mora,,Cameroon,Accessories,39,1521
53200019,Archibold,Vasyatkin,avasyatkind@wsj.com,Male,411-105-8037,Olival,Santarém,Portugal,Food - Meat,63,1524
122237612,Merla,Blouet,mblouete@alexa.com,Female,254-494-2476,Pahonjean,,Indonesia,Audio,18,1525
91501204,Gannon,Imlen,gimlenf@spotify.com,Male,125-955-0714,Akhtopol,,Bulgaria,Home Appliances,64,1526
125108450,Ellyn,Piola,epiolag@mapquest.com,Female,525-120-3546,Leninskoye,,Russia,Electronics,22,1529
107000262,Boone,Lathleiff,blathleiffh@independent.co.uk,Non-binary,670-943-4508,Guacarí,,Colombia,Food - Baking,64,1529
81302633,Flemming,Hugo,fhugoi@eepurl.com,Non-binary,480-912-9937,Binhe,,China,Pets,39,1538
26008811,Monroe,Crevagh,mcrevaghj@unc.edu,Male,269-757-8824,Huayuanli,,China,Fitness,54,1541
